equipo_alias,equipo_canonico
América,América de Cali
América (Cali),América de Cali
Atlético Junior,Junior FC
Junior,Junior FC
Barcelona,Barcelona SC
Botafogo,Botafogo de Futebol e Regatas
Caracas F.C.,Caracas FC
Caracas,Caracas FC
Cerro Porteños,Cerro Porteño
San Lorenzo,San Lorenzo de Almagro
Univ. Católica,Universidad Católica
Univ. de Chile,Universidad de Chile
Univ. de Concepción,Universidad de Concepción
U. de Deportes,Universitario de Deportes
Univ. de Deportes,Universitario de Deportes
Universitario (Lima),Universitario de Deportes
Universitario,Universitario de Deportes
Argentinos Jrs,Argentinos Juniors
Arsenal,Arsenal de Sarandí
Athl. Paranaense,Athletico Paranaense
Atl. Paranaense,Athletico Paranaense
Atlético Paranaense,Athletico Paranaense
Atl. Colegiales,Atlético Colegiales
Atl. Mineiro,Atlético Mineiro
CA Mineiro,Atlético Mineiro
Atl. Nacional,Atlético Nacional
Colo Colo,Colo-Colo
CR Flamengo,Flamengo
Club Libertad,Libertad
Dep. Concepción,Deportes Concepción
Dep. La Guaira,Deportivo La Guaira
Dep. Quito,Deportivo Quito
Deportivo ItalChacao,Deportivo Italia
Deportivo Táchira FC,Deportivo Táchira
Táchira,Deportivo Táchira
Táchira FC,Deportivo Táchira
Estudiantes,Estudiantes de La Plata
Estudiantes LP,Estudiantes de La Plata
Estudiantes de LP,Estudiantes de La Plata
Estudiantes-LP,Estudiantes de La Plata
FBC Melgar,Melgar
Fluminense FC,Fluminense
Grêmio (BRA),Grêmio
Grêmio FBPA,Grêmio
Ind. Medellín,Independiente Medellín
Indep. Medellín,Independiente Medellín
Indep. Petrolero,Independiente Petrolero
Ind. del Valle,Independiente del Valle
Indep. del Valle,Independiente del Valle
Indep. José Terán,Independiente del Valle
Independiente José Terán,Independiente del Valle
Indep. Santa Fe,Independiente Santa Fe
SC Internacional,Internacional
LDU (Quito),LDU Quito
Millonarios FC,Millonarios
Mineros,Mineros de Guayana
Nacional (A.),Nacional (Asunción)
Nacional (Montevideo),Nacional
S. Wanderers,Santiago Wanderers
SE Palmeiras,Palmeiras
Santos FC,Santos
Sport (Recife),Sport Recife
São Paulo FC,São Paulo
U. San Martín,Universidad San Martín
Univ. San Martín,Universidad San Martín
Vélez Sársfield,Vélez Sarsfield
